runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0827T143136Z_ocqmWl,a9a,1,0.001,0.02,2,2,4096,1,1,512,0.7280122769279445,0.5909593043160792
0827T151632Z_Vx3aYh,a9a,2,0.001,0.02,2,1,4096,1,1,512,0.864128370938407,0.583422801706559
0827T155051Z_eqfCxa,a9a,5,0.001,1.0,256,32,4096,1,1,512,0.4970575488465895,0.4970575488465895
0827T161159Z_AzLiJo,a9a,1,0.001,0.1,8,8,4096,1,1,512,0.3667664174485898,0.3649770301020683
0827T162000Z_eaolcS,a9a,1,0.001,0.01,2048,128,4096,1,1,512,0.3585868441489548,0.3585868441489548
0827T154340Z_3BKQQc,a9a,5,0.001,10.0,4,32,4096,1,1,512,5.28406223171828,1.1451013886529824
0827T143102Z_s6ifG9,a9a,0,0.001,0.02,2,1,4096,1,1,512,0.3955707553489438,0.3955707553489438
0827T154458Z_fdGRFc,a9a,5,0.001,2.0,8,128,4096,1,1,512,0.9599926694695476,0.9599926694695476
0827T154856Z_AriN4e,a9a,5,0.001,0.2,1,32,4096,1,1,512,0.4196268830276824,0.4196268830276824
0827T154102Z_ze1ONM,a9a,5,0.001,0.01,2,2,4096,1,1,512,0.4561689907762198,0.4561689907762198
0827T143050Z_FTSToj,a9a,0,0.001,0.01,1,2,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T154425Z_gHTzCm,a9a,5,0.001,0.1,8,1,4096,1,1,512,0.3468800330086841,0.3468800330086841
0827T155420Z_Zt9Ua1,a9a,5,0.001,5.0,2048,8,4096,1,1,512,1.6452454907067824,1.1451013886529906
0827T160448Z_WK1S7z,a9a,0,0.001,0.1,2048,8,4096,1,1,512,0.3455644727462938,0.3455644727462938
0827T151603Z_Yl3oLc,a9a,1,0.001,0.02,8,1,4096,1,1,512,0.3922592036243118,0.3922592036243118
0827T155624Z_HUe4hA,a9a,5,0.001,0.1,2048,64,4096,1,1,512,0.3462306561666977,0.3462306561666977
